t: 30.15, u: 0.00, e: 0.31, s: 30.00
t: 30.09, u: 0.00, e: 0.31, s: 30.00
t: 30.00, u: 0.00, e: 0.31, s: 30.00
t: 29.87, u: 0.00, e: 0.31, s: 30.00
t: 29.74, u: 0.00, e: 0.31, s: 30.00
t: 29.59, u: 0.39, e: -0.31, s: 30.00
t: 29.48, u: 0.39, e: -0.52, s: 30.00
t: 29.37, u: 0.39, e: -0.41, s: 30.00
t: 29.28, u: 0.39, e: -0.74, s: 30.00
t: 29.19, u: 0.39, e: -0.81, s: 30.00
t: 29.13, u: 0.39, e: -0.83, s: 30.00
t: 28.97, u: 0.39, e: -0.98, s: 30.00
t: 28.97, u: 0.39, e: -1.10, s: 30.00
t: 28.97, u: 0.39, e: -1.05, s: 30.00
t: 28.93, u: 0.39, e: -1.12, s: 30.00
t: 28.95, u: 0.39, e: -1.09, s: 30.00
t: 28.91, u: 0.39, e: -1.01, s: 30.00
t: 28.93, u: 0.39, e: -1.07, s: 30.00
t: 28.99, u: 0.39, e: -1.03, s: 30.00
t: 28.95, u: 0.39, e: -0.81, s: 30.00
t: 29.08, u: 0.39, e: -0.97, s: 30.00
t: 29.10, u: 0.39, e: -0.92, s: 30.00
t: 29.06, u: 0.39, e: -0.83, s: 30.00
t: 29.14, u: 0.39, e: -0.83, s: 30.00
t: 29.34, u: 0.39, e: -0.57, s: 30.00
t: 29.23, u: 0.39, e: -0.55, s: 30.00
t: 29.30, u: 0.39, e: -0.68, s: 30.00
t: 29.43, u: 0.39, e: -0.61, s: 30.00
t: 29.45, u: 0.39, e: -0.51, s: 30.00
t: 29.56, u: 0.39, e: -0.44, s: 30.00
t: 29.93, u: 0.39, e: -0.24, s: 30.00
t: 29.74, u: 0.39, e: -0.27, s: 30.00
t: 29.71, u: 0.39, e: -0.20, s: 30.00
t: 29.97, u: 0.39, e: 0.00, s: 30.00
t: 30.02, u: 0.39, e: -0.01, s: 30.00
t: 29.97, u: 0.39, e: 0.02, s: 30.00
t: 30.10, u: 0.00, e: 0.30, s: 30.00
t: 30.19, u: 0.00, e: 0.30, s: 30.00
t: 30.28, u: 0.00, e: 0.30, s: 30.00
t: 30.30, u: 0.00, e: 0.30, s: 30.00
t: 30.39, u: 0.00, e: 0.30, s: 30.00
t: 30.45, u: 0.00, e: 0.30, s: 30.00
t: 30.45, u: 0.00, e: 0.30, s: 30.00
t: 30.41, u: 0.00, e: 0.30, s: 30.00
t: 30.43, u: 0.00, e: 0.30, s: 30.00
t: 30.38, u: 0.00, e: 0.30, s: 30.00
t: 30.36, u: 0.00, e: 0.30, s: 30.00
t: 30.34, u: 0.00, e: 0.30, s: 30.00
t: 30.28, u: 0.00, e: 0.30, s: 30.00
